sid,e85_blender_pump,e85_other_ethanol_blends
37559,0.0,
37560,0.0,
37561,0.0,
37626,0.0,
37627,1.0,"[""E15"",""E30-E35""]"
37630,1.0,"[""E30-E35"",""E40-Plus""]"
37632,0.0,
37633,0.0,
37635,0.0,
37637,0.0,
37638,0.0,
37640,0.0,
37641,0.0,
37642,1.0,"[""E15""]"
37644,0.0,
37645,1.0,"[""E15""]"
37646,1.0,"[""E15""]"
37647,1.0,"[""E15""]"
37934,0.0,
38035,0.0,
38061,0.0,
38065,1.0,"[""E15""]"
38068,0.0,
38069,1.0,"[""E30-E35""]"
38070,0.0,
38071,0.0,
38072,1.0,"[""E30-E35""]"
38073,0.0,
38075,0.0,
38076,0.0,
38495,0.0,
38496,0.0,
38497,1.0,"[""E30-E35""]"
38499,1.0,"[""E15"",""E30-E35""]"
38500,0.0,
38501,0.0,
38502,0.0,
38505,0.0,
38506,1.0,"[""E15"",""E30-E35""]"
38508,0.0,
38511,0.0,
38513,0.0,
39200,0.0,
39201,0.0,
39203,0.0,
39204,1.0,"[""E15""]"
39208,0.0,
39210,0.0,
39211,0.0,
39213,0.0,
39216,0.0,
39218,0.0,
39219,0.0,
39220,0.0,
39221,0.0,
39222,1.0,"[""E15""]"
39225,0.0,
39226,0.0,
39227,0.0,
39228,0.0,
39230,1.0,"[""E15""]"
39231,1.0,"[""E15""]"
39679,0.0,
39682,0.0,
39683,0.0,
39684,1.0,"[""E15""]"
39686,1.0,"[""E15""]"
39687,1.0,"[""E15""]"
39689,0.0,
39690,0.0,
39691,0.0,
39692,0.0,
39693,0.0,
39694,0.0,
39697,1.0,"[""E15""]"
39704,1.0,"[""E15""]"
40075,0.0,
40098,1.0,"[""E30-E35""]"
40324,0.0,
40325,0.0,
40326,0.0,
40331,0.0,
40334,0.0,
40340,0.0,
40342,0.0,
40343,1.0,"[""E15""]"
40346,0.0,
40347,0.0,
40348,0.0,
40349,0.0,
40350,0.0,
40351,0.0,
40352,0.0,
40353,0.0,
40359,1.0,"[""E30-E35""]"
40528,0.0,
40630,1.0,"[""E30-E35""]"
40632,0.0,
40636,0.0,
40639,0.0,
40640,0.0,
40698,0.0,
40699,0.0,
40885,1.0,"[""E15""]"
40887,0.0,
40888,0.0,
40889,0.0,
40890,0.0,
40895,0.0,
41179,0.0,
41183,0.0,
41184,1.0,"[""E15""]"
41185,1.0,"[""E30-E35""]"
41186,0.0,
41188,0.0,
41191,1.0,"[""E15""]"
41198,1.0,"[""E15""]"
41199,0.0,
41201,0.0,
41202,0.0,
41204,0.0,
41405,0.0,
41614,0.0,
41712,0.0,
41713,0.0,
41737,0.0,
41738,0.0,
41739,0.0,
41740,0.0,
41741,0.0,
41742,0.0,
41743,0.0,
41744,0.0,
41745,0.0,
41747,0.0,
41748,0.0,
41749,0.0,
41750,0.0,
41898,0.0,
41900,0.0,
41971,0.0,
42076,0.0,
42097,1.0,"[""E15"",""E30-E35""]"
42098,1.0,"[""E15"",""E30-E35""]"
42099,0.0,
42100,0.0,
42107,0.0,
42459,0.0,
42612,1.0,"[""E15""]"
42615,0.0,
42616,0.0,
42617,0.0,
42619,0.0,
42620,0.0,
42621,0.0,
42622,0.0,
42627,0.0,
42628,0.0,
42629,0.0,
42630,0.0,
42633,0.0,
42882,0.0,
43113,1.0,"[""E15""]"
43114,1.0,"[""E20-E25""]"
43115,0.0,
43118,0.0,
43555,0.0,
43572,0.0,
43735,0.0,
43736,1.0,"[""E40-Plus""]"
44654,0.0,
44853,0.0,
44854,1.0,"[""E15""]"
44855,0.0,
44857,0.0,
44858,0.0,
44859,0.0,
44860,0.0,
44861,1.0,"[""E15""]"
44862,1.0,"[""E15""]"
44863,1.0,"[""E15""]"
44866,0.0,
44868,0.0,
46350,0.0,
46351,0.0,
46352,0.0,
46353,1.0,"[""E15""]"
46354,1.0,"[""E15"",""E30-E35""]"
