id,brand,vehicle_type,model,release_year,variant,type,ac_port,dc_port,usable_battery_size,energy_consumption
250,Volvo,car,XC40 PHEV,2019.0,T5 Twin Engine,phev,type2,,10.7,16.1
251,Volvo,car,XC 60 T8,2018.0,,phev,type2,,10.4,24.5
252,Volvo,car,XC40,2020.0,P8 Recharge,bev,type2,ccs,75.0,17.6
253,Zero Motorcycles,motorbike,S,2019.0,ZF14.4 11 KW + Charge Tank,bev,type2,,12.6,6.3
254,Zero Motorcycles,motorbike,SR/S,2020.0,Standard + Power Tank,bev,type2,,15.8,8.5
255,Zero Motorcycles,motorbike,SR,2019.0,ZF 14.4 + Charge Tank,bev,type2,,12.6,7.0
256,Zero Motorcycles,motorbike,SR/S,2020.0,Standard + Charge Tank,bev,type2,,12.6,8.0
257,Zero Motorcycles,motorbike,SR/F,2019.0,Standard,bev,type2,,12.6,8.0
258,Zero Motorcycles,motorbike,SR/F,2019.0,Standard + Power Tank,bev,type2,,15.8,8.5
259,Zero Motorcycles,motorbike,SR/F,2019.0,Premium,bev,type2,,12.6,8.0
260,Zero Motorcycles,motorbike,SR/F,2019.0,Standard + Charge Tank,bev,type2,,12.6,8.0
261,Zero Motorcycles,motorbike,SR/F,2019.0,Premium + Charge Tank,bev,type2,,12.6,8.0
262,Zero Motorcycles,motorbike,SR/F,2019.0,Premium + Power Tank,bev,type2,,15.8,8.5
263,Zero Motorcycles,motorbike,SR/S,2020.0,Standard,bev,type2,,12.6,8.0
264,Zero Motorcycles,motorbike,SR/S,2020.0,Premium,bev,type2,,12.6,8.0
265,Zero Motorcycles,motorbike,DSR,2019.0,ZF 14.4 + Charge Tank,bev,type2,,12.6,7.4
266,Zero Motorcycles,motorbike,DS,2019.0,ZF14.4 11 KW + Charge Tank,bev,type2,,12.6,6.6
267,Zero Motorcycles,motorbike,SR/S,2020.0,Premium + Charge Tank,bev,type2,,12.6,8.0
268,Zero Motorcycles,motorbike,SR/S,2020.0,Premium + Power Tank,bev,type2,,15.8,8.5
269,Zero Motorcycles,motorbike,DSR/BF,2019.0,ZF 14.4 + Charge Tank,bev,type2,,12.6,8.8
270,e.GO Mobile,car,Life 60,2019.0,,bev,type2,,21.0,15.5
271,e.GO Mobile,car,Life 40,2019.0,,bev,type2,,17.5,15.5
272,e.GO Mobile,car,Life 20,2019.0,,bev,type2,,14.5,15.5
273,smart,car,fortwo ED,,22 kW-AC,bev,type2,,17.6,16.7
274,smart,car,fortwo EQ,,,bev,type2,,17.6,16.7
275,smart,car,fortwo EQ,,22 kW-AC,bev,type2,,17.6,16.7
276,smart,car,fortwo ED,,,bev,type2,,17.6,16.7
277,smart,car,forfour EQ,,,bev,type2,,17.6,17.6
278,smart,car,forfour EQ,,22 kW-AC,bev,type2,,17.6,17.6
