sid,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
173984,type1,None,None,2.0,ChargePoint Network
173985,type1,None,None,2.0,ChargePoint Network
173986,type1,None,None,2.0,ChargePoint Network
173987,type1,None,None,2.0,ChargePoint Network
173988,type1,None,None,2.0,ChargePoint Network
173990,chademo,1.0,None,None,ChargePoint Network
173990,ccs,1.0,None,None,ChargePoint Network
173991,type1,None,None,2.0,ChargePoint Network
173994,type1,None,None,2.0,ChargePoint Network
173995,type1,None,None,2.0,ChargePoint Network
173998,type1,None,None,2.0,ChargePoint Network
174000,type1,None,None,2.0,ChargePoint Network
174002,type1,None,None,2.0,ChargePoint Network
174003,type1,None,None,2.0,ChargePoint Network
174004,type1,None,None,2.0,ChargePoint Network
174005,type1,None,None,2.0,ChargePoint Network
174006,type1,None,None,2.0,ChargePoint Network
174007,type1,None,None,2.0,ChargePoint Network
174010,type1,None,None,2.0,ChargePoint Network
174011,type1,None,None,1.0,ChargePoint Network
174012,type1,None,None,1.0,ChargePoint Network
174013,type1,None,None,2.0,ChargePoint Network
174014,type1,None,None,1.0,ChargePoint Network
174015,type1,None,None,2.0,ChargePoint Network
174016,type1,None,None,2.0,ChargePoint Network
174017,type1,None,None,2.0,ChargePoint Network
174018,type1,None,None,2.0,ChargePoint Network
174024,type1,None,None,2.0,ChargePoint Network
174025,type1,None,None,2.0,ChargePoint Network
174026,type1,None,None,2.0,ChargePoint Network
174027,type1,None,None,2.0,ChargePoint Network
174028,type1,None,None,2.0,ChargePoint Network
174029,type1,None,None,2.0,ChargePoint Network
174030,type1,None,None,2.0,ChargePoint Network
174031,type1,None,None,2.0,ChargePoint Network
174032,type1,None,None,2.0,ChargePoint Network
174033,type1,None,None,2.0,ChargePoint Network
174034,type1,None,None,2.0,ChargePoint Network
174035,type1,None,None,2.0,ChargePoint Network
174036,type1,None,None,2.0,ChargePoint Network
174037,type1,None,None,2.0,ChargePoint Network
174038,type1,None,None,2.0,ChargePoint Network
174039,type1,None,None,2.0,ChargePoint Network
174040,type1,None,None,2.0,ChargePoint Network
174041,type1,None,None,2.0,ChargePoint Network
174042,type1,None,None,2.0,ChargePoint Network
174043,type1,None,None,2.0,ChargePoint Network
174048,type1,None,None,2.0,ChargePoint Network
174049,type1,None,None,2.0,ChargePoint Network
174050,chademo,1.0,None,None,ChargePoint Network
174050,ccs,1.0,None,None,ChargePoint Network
174051,chademo,1.0,None,None,ChargePoint Network
174051,ccs,1.0,None,None,ChargePoint Network
174052,type1,None,None,2.0,ChargePoint Network
174054,type1,None,None,1.0,ChargePoint Network
174055,type1,None,None,1.0,ChargePoint Network
174057,type1,None,None,2.0,ChargePoint Network
174058,type1,None,None,2.0,ChargePoint Network
174059,type1,None,None,2.0,ChargePoint Network
174060,type1,None,None,2.0,ChargePoint Network
174061,type1,None,None,2.0,ChargePoint Network
174062,type1,None,None,2.0,ChargePoint Network
174063,type1,None,None,2.0,ChargePoint Network
174064,type1,None,None,2.0,ChargePoint Network
174065,type1,None,None,2.0,ChargePoint Network
174066,type1,None,None,2.0,ChargePoint Network
174067,type1,None,None,2.0,ChargePoint Network
174068,type1,None,None,2.0,ChargePoint Network
174069,type1,None,None,2.0,ChargePoint Network
174070,type1,None,None,2.0,ChargePoint Network
174071,type1,None,None,2.0,ChargePoint Network
174072,type1,None,None,2.0,ChargePoint Network
174073,type1,None,None,2.0,ChargePoint Network
174075,type1,None,None,2.0,ChargePoint Network
174077,type1,None,None,2.0,ChargePoint Network
174078,type1,None,None,2.0,ChargePoint Network
174079,type1,None,None,2.0,ChargePoint Network
174080,type1,None,None,2.0,ChargePoint Network
174081,type1,None,None,2.0,ChargePoint Network
174082,type1,None,None,2.0,ChargePoint Network
174083,type1,None,None,2.0,ChargePoint Network
174084,type1,None,None,2.0,ChargePoint Network
174086,type1,None,None,2.0,ChargePoint Network
174087,type1,None,None,2.0,ChargePoint Network
174088,type1,None,None,2.0,ChargePoint Network
174089,type1,None,None,2.0,ChargePoint Network
174090,type1,None,None,2.0,ChargePoint Network
174092,type1,None,None,2.0,ChargePoint Network
174093,type1,None,None,2.0,ChargePoint Network
174094,type1,None,None,2.0,ChargePoint Network
174096,type1,None,None,2.0,ChargePoint Network
174097,type1,None,None,2.0,ChargePoint Network
174098,type1,None,None,2.0,ChargePoint Network
174099,type1,None,None,2.0,ChargePoint Network
174100,type1,None,None,2.0,ChargePoint Network
174101,type1,None,None,2.0,ChargePoint Network
174103,type1,None,None,2.0,ChargePoint Network
174104,type1,None,None,2.0,ChargePoint Network
174105,type1,None,None,2.0,ChargePoint Network
174107,type1,None,None,2.0,ChargePoint Network
174108,type1,None,None,2.0,ChargePoint Network
174109,chademo,1.0,None,None,ChargePoint Network
174109,ccs,1.0,None,None,ChargePoint Network
174110,chademo,1.0,None,None,ChargePoint Network
174110,ccs,1.0,None,None,ChargePoint Network
174113,type1,None,None,2.0,ChargePoint Network
174114,type1,None,None,2.0,ChargePoint Network
174115,type1,None,None,2.0,ChargePoint Network
174120,type1,None,None,2.0,ChargePoint Network
174122,type1,None,None,2.0,ChargePoint Network
174123,type1,None,None,2.0,ChargePoint Network
174126,type1,None,None,2.0,ChargePoint Network
174127,type1,None,None,2.0,ChargePoint Network
174129,type1,None,None,2.0,ChargePoint Network
174130,type1,None,None,2.0,ChargePoint Network
174131,type1,None,None,2.0,ChargePoint Network
174132,type1,None,None,2.0,ChargePoint Network
174133,type1,None,None,1.0,ChargePoint Network
174138,type1,None,None,2.0,ChargePoint Network
174139,type1,None,None,2.0,ChargePoint Network
174140,type1,None,None,1.0,ChargePoint Network
174142,type1,None,None,2.0,ChargePoint Network
174143,type1,None,None,2.0,ChargePoint Network
174144,type1,None,None,2.0,ChargePoint Network
174145,type1,None,None,2.0,ChargePoint Network
174146,chademo,1.0,None,None,ChargePoint Network
174146,ccs,1.0,None,None,ChargePoint Network
174147,chademo,1.0,None,None,ChargePoint Network
174147,ccs,1.0,None,None,ChargePoint Network
174148,type1,None,None,2.0,ChargePoint Network
174149,chademo,1.0,None,None,ChargePoint Network
174149,ccs,1.0,None,None,ChargePoint Network
174150,type1,None,None,2.0,ChargePoint Network
174152,type1,None,None,2.0,ChargePoint Network
174153,type1,None,None,1.0,ChargePoint Network
174154,type1,None,None,2.0,ChargePoint Network
174155,type1,None,None,2.0,ChargePoint Network
174166,type1,None,None,2.0,ChargePoint Network
174167,type1,None,None,1.0,ChargePoint Network
174168,chademo,1.0,None,None,ChargePoint Network
174168,ccs,1.0,None,None,ChargePoint Network
174169,type1,None,None,2.0,ChargePoint Network
174170,chademo,1.0,None,None,ChargePoint Network
174170,ccs,1.0,None,None,ChargePoint Network
174171,type1,None,None,1.0,ChargePoint Network
174172,type1,None,None,2.0,ChargePoint Network
174173,type1,None,None,2.0,ChargePoint Network
174174,type1,None,None,2.0,ChargePoint Network
174175,type1,None,None,2.0,ChargePoint Network
174176,type1,None,None,1.0,ChargePoint Network
174177,chademo,1.0,None,None,ChargePoint Network
174177,ccs,1.0,None,None,ChargePoint Network
174178,chademo,1.0,None,None,ChargePoint Network
174178,ccs,1.0,None,None,ChargePoint Network
174179,type1,None,None,1.0,ChargePoint Network
174180,type1,None,None,1.0,ChargePoint Network
174181,type1,None,None,1.0,ChargePoint Network
174182,type1,None,None,1.0,ChargePoint Network
174183,type1,None,None,1.0,ChargePoint Network
174184,type1,None,None,1.0,ChargePoint Network
174185,type1,None,None,1.0,ChargePoint Network
174186,type1,None,None,2.0,ChargePoint Network
174187,type1,None,None,2.0,ChargePoint Network
174188,type1,None,None,2.0,ChargePoint Network
174189,type1,None,None,2.0,ChargePoint Network
174190,type1,None,None,2.0,ChargePoint Network
174192,type1,None,None,2.0,ChargePoint Network
174194,type1,None,None,2.0,ChargePoint Network
174195,type1,None,None,2.0,ChargePoint Network
174196,type1,None,None,2.0,ChargePoint Network
174197,type1,None,None,2.0,ChargePoint Network
174198,type1,None,None,2.0,ChargePoint Network
174199,type1,None,None,2.0,ChargePoint Network
174200,type1,None,None,2.0,ChargePoint Network
174201,type1,None,None,2.0,ChargePoint Network
174202,type1,None,None,2.0,ChargePoint Network
174203,type1,None,None,2.0,ChargePoint Network
174205,type1,None,None,2.0,ChargePoint Network
174206,type1,None,None,2.0,ChargePoint Network
174207,type1,None,None,2.0,ChargePoint Network
174208,type1,None,None,2.0,ChargePoint Network
174209,type1,None,None,2.0,ChargePoint Network
174210,type1,None,None,2.0,ChargePoint Network
174211,type1,None,None,2.0,ChargePoint Network
174212,type1,None,None,2.0,ChargePoint Network
174213,type1,None,None,2.0,ChargePoint Network
174214,type1,None,None,2.0,ChargePoint Network
174215,type1,None,None,2.0,ChargePoint Network
174216,type1,None,None,2.0,ChargePoint Network
174217,type1,None,None,2.0,ChargePoint Network
174218,type1,None,None,2.0,ChargePoint Network
